timestamp_ns,mode,e2e,dataset,text_mix,style_mix,cols,rows,frames_total,warmup_frames,seed,time_min_ns,time_median_ns,time_p95_ns,time_max_ns,time_mean_ns,cpu_time_ns,cpu_user_ns,cpu_sys_ns,page_faults_minor,page_faults_major,page_faults_minor_min,page_faults_minor_median,page_faults_minor_p95,page_faults_minor_max,page_faults_minor_mean,page_faults_major_min,page_faults_major_median,page_faults_major_p95,page_faults_major_max,page_faults_major_mean,max_rss_bytes,bytes_total,bytes_mean,dirty_ratio_mean,style_runs_mean,pmc_cycles_min,pmc_cycles_median,pmc_cycles_p95,pmc_cycles_max,pmc_cycles_mean,pmc_instructions_min,pmc_instructions_median,pmc_instructions_p95,pmc_instructions_max,pmc_instructions_mean,pmc_cache_misses_min,pmc_cache_misses_median,pmc_cache_misses_p95,pmc_cache_misses_max,pmc_cache_misses_mean,pmc_cache_references_min,pmc_cache_references_median,pmc_cache_references_p95,pmc_cache_references_max,pmc_cache_references_mean,pmc_branches_min,pmc_branches_median,pmc_branches_p95,pmc_branches_max,pmc_branches_mean,pmc_branch_misses_min,pmc_branch_misses_median,pmc_branch_misses_p95,pmc_branch_misses_max,pmc_branch_misses_mean
1770543693893080000,full_redraw,0,typical_app_panel_swap,common,flat,200,60,20000,1000,69420,21083,21375,23333,148167,21953,1063535000,957176000,106359000,90,0,0,0,0,6,0,0,0,0,0,0,12500992,340369825,17914.201316,0.096083,0.000000,105734,117672,134485,197532,120070,569583,570152,573832,597704,571001,297,679,770,2579,634,NA,NA,NA,NA,NA,127057,127057,127057,127057,127057,141,147,160,2337,149
1770543696193103000,full_redraw,0,typical_app_panel_swap,common,themed,200,60,20000,1000,69420,45542,46333,49500,159125,46787,1546229000,1435333000,110896000,35,0,0,0,0,2,0,0,0,0,0,0,13402112,843812646,44411.191895,0.096083,979.000000,215690,228544,242527,730297,230923,1119597,1120169,1123742,1131004,1120861,602,1014,1359,2442,1010,NA,NA,NA,NA,NA,259213,259213,259213,259230,259213,595,613,700,5050,624
1770543699004968000,full_redraw,0,typical_app_panel_swap,common,churn,200,60,20000,1000,69420,114416,119875,132000,159625,121357,2988089000,2868945000,119144000,0,0,0,0,0,0,0,0,0,0,0,0,13500416,2213975785,116525.041316,0.096083,3223.000000,523588,548908,569695,701125,549555,2674860,2675411,2679024,2696744,2676289,1189,1511,2048,2502,1607,NA,NA,NA,NA,NA,617050,617054,617054,617054,617053,2520,2543,2567,10583,2569
1770543703336078000,full_redraw,0,typical_app_panel_swap,grapheme_stress,flat,200,60,20000,1000,69420,22792,23125,25583,72125,23815,1130201000,1022194000,108007000,0,0,0,0,0,0,0,0,0,0,0,0,13615104,498378923,26230.469632,0.096083,0.000000,114221,125356,141435,215575,128644,600115,600788,604422,631770,601927,362,576,800,2471,603,NA,NA,NA,NA,NA,133602,133623,133623,133623,133622,121,153,160,3578,151
1770543705708070000,full_redraw,0,typical_app_panel_swap,grapheme_stress,themed,200,60,20000,1000,69420,48625,50542,55042,86208,51046,1650515000,1536308000,114207000,0,0,0,0,0,0,0,0,0,0,0,0,13697024,1021892664,53783.824421,0.096083,1014.000000,229530,247807,262418,347713,248575,1171105,1171718,1175379,1180791,1172749,692,1076,1347,1702,1102,NA,NA,NA,NA,NA,270527,270527,270527,270540,270527,653,663,785,5784,678
1770543708627864000,full_redraw,0,typical_app_panel_swap,grapheme_stress,churn,200,60,20000,1000,69420,107375,111208,121833,178625,113315,2856599000,2737994000,118605000,0,0,0,0,0,0,0,0,0,0,0,0,13844480,2135944674,112418.140737,0.096083,3000.000000,492184,511456,529736,683021,512322,2433019,2433592,2437295,2460861,2434337,868,1478,1628,1928,1482,NA,NA,NA,NA,NA,563602,563627,563627,563627,563626,2176,2227,2371,11846,2284
1770543712821948000,full_redraw,0,typical_app_cursor_moves,common,flat,200,60,20000,1000,69420,20875,21375,21833,40166,21499,1048025000,938963000,109062000,3,0,0,0,0,1,0,0,0,0,0,0,13975552,348858976,18360.998737,0.000166,0.000000,105976,116464,130510,191943,118592,582204,582760,586455,594506,583817,326,678,745,2573,628,NA,NA,NA,NA,NA,130301,130316,130316,130327,130313,169,176,227,2526,189
1770543715107926000,full_redraw,0,typical_app_cursor_moves,common,themed,200,60,20000,1000,69420,43000,44333,48875,74958,45156,1499708000,1386608000,113100000,0,0,0,0,0,0,0,0,0,0,0,0,14024704,796171197,41903.747211,0.000166,843.000000,205128,220512,236076,301203,221767,1071718,1072454,1076084,1086372,1073642,590,1044,1359,2337,1062,NA,NA,NA,NA,NA,247844,247859,247859,247859,247857,531,599,620,4418,585
1770543717870464000,full_redraw,0,typical_app_cursor_moves,common,churn,200,60,20000,1000,69420,113000,121250,131750,484833,122951,3015794000,2895363000,120431000,0,0,0,0,0,0,0,0,0,0,0,0,14155776,2189097729,115215.669947,0.000166,3137.000000,519524,544551,564289,883972,546234,2653332,2653947,2657650,2905824,2654777,253,1524,1948,2364,1599,NA,NA,NA,NA,NA,611926,611954,611954,611954,611951,2438,2474,2708,10155,2511
1770543722230674000,full_redraw,0,typical_app_cursor_moves,grapheme_stress,flat,200,60,20000,1000,69420,22708,24000,26792,120291,24418,1135573000,1026260000,109313000,0,0,0,0,0,0,0,0,0,0,0,0,14204928,518297612,27278.821684,0.000166,0.000000,113051,128964,142677,265419,130344,615466,616079,619712,710080,617129,215,612,819,2438,628,NA,NA,NA,NA,NA,137509,137524,137524,137533,137519,141,171,244,3918,185
