timestamp_ns,mode,e2e,dataset,text_mix,style_mix,cols,rows,frames_total,warmup_frames,seed,time_min_ns,time_median_ns,time_p95_ns,time_max_ns,time_mean_ns,cpu_time_ns,cpu_user_ns,cpu_sys_ns,page_faults_minor,page_faults_major,page_faults_minor_min,page_faults_minor_median,page_faults_minor_p95,page_faults_minor_max,page_faults_minor_mean,page_faults_major_min,page_faults_major_median,page_faults_major_p95,page_faults_major_max,page_faults_major_mean,max_rss_bytes,bytes_total,bytes_mean,dirty_ratio_mean,style_runs_mean,pmc_cycles_min,pmc_cycles_median,pmc_cycles_p95,pmc_cycles_max,pmc_cycles_mean,pmc_instructions_min,pmc_instructions_median,pmc_instructions_p95,pmc_instructions_max,pmc_instructions_mean,pmc_cache_misses_min,pmc_cache_misses_median,pmc_cache_misses_p95,pmc_cache_misses_max,pmc_cache_misses_mean,pmc_cache_references_min,pmc_cache_references_median,pmc_cache_references_p95,pmc_cache_references_max,pmc_cache_references_mean,pmc_branches_min,pmc_branches_median,pmc_branches_p95,pmc_branches_max,pmc_branches_mean,pmc_branch_misses_min,pmc_branch_misses_median,pmc_branch_misses_p95,pmc_branch_misses_max,pmc_branch_misses_mean
1770579452321927000,full_redraw,0,typical_app_panel_swap,common,flat,200,60,20000,1000,69420,19875,21000,23250,38458,21109,947072000,839464000,107608000,90,0,0,0,0,6,0,0,0,0,0,0,12713984,340369825,17914.201316,0.096083,0.000000,100271,113340,127690,185802,114610,634232,634930,638541,647150,635546,268,456,497,817,456,NA,NA,NA,NA,NA,127104,127104,127104,127104,127104,162,169,240,2331,187
1770579454506878000,full_redraw,0,typical_app_panel_swap,common,themed,200,60,20000,1000,69420,47250,52375,55334,150416,51124,1552395000,1437984000,114411000,66,0,0,0,0,5,0,0,0,0,0,0,14155776,843812646,44411.191895,0.096083,979.000000,223791,236734,250402,407437,238349,1186740,1187391,1191040,1343169,1188374,188,858,926,1093,856,NA,NA,NA,NA,NA,260173,260173,260173,260190,260173,601,612,644,5704,621
1770579457329222000,full_redraw,0,typical_app_panel_swap,common,churn,200,60,20000,1000,69420,117125,131209,137584,250208,130439,3094487000,2968734000,125753000,0,0,0,0,0,0,0,0,0,0,0,0,14336000,2213975785,116525.041316,0.096083,3223.000000,536271,560495,580599,755315,561713,2746856,2747526,2751175,2795224,2748634,783,1346,1660,2044,1344,NA,NA,NA,NA,NA,622059,622063,622063,622063,622062,2131,2190,2825,11852,2310
1770579461772438000,full_redraw,0,typical_app_panel_swap,grapheme_stress,flat,200,60,20000,1000,69420,22917,23416,26208,139166,24412,1059321000,952904000,106417000,0,0,0,0,0,0,0,0,0,0,0,0,14385152,498378923,26230.469632,0.096083,0.000000,114401,124412,137983,332725,126413,666235,666885,670620,723236,667604,267,525,581,846,525,NA,NA,NA,NA,NA,134630,134652,134652,134652,134651,145,152,157,3889,155
1770579464074157000,full_redraw,0,typical_app_panel_swap,grapheme_stress,themed,200,60,20000,1000,69420,49458,55458,59292,211083,54804,1664089000,1547363000,116726000,0,0,0,0,0,0,0,0,0,0,0,0,14516224,1021892664,53783.824421,0.096083,1014.000000,233950,251234,265768,485600,252991,1239533,1240179,1243813,1292503,1241049,445,860,948,1130,863,NA,NA,NA,NA,NA,272418,272418,272418,272432,272418,643,664,804,6953,680
1770579467011693000,full_redraw,0,typical_app_panel_swap,grapheme_stress,churn,200,60,20000,1000,69420,110209,122792,128542,299792,121380,2965931000,2841451000,124480000,0,0,0,0,0,0,0,0,0,0,0,0,14663680,2135944674,112418.140737,0.096083,3000.000000,501331,522831,541944,807430,525022,2509259,2509999,2513643,2650366,2511085,267,1044,1181,1476,1049,NA,NA,NA,NA,NA,569312,569335,569335,569335,569334,1928,1986,2178,14298,2028
1770579471322602000,full_redraw,0,typical_app_cursor_moves,common,flat,200,60,20000,1000,69420,20500,22083,24500,78500,22408,974310000,868779000,105531000,3,0,0,0,0,1,0,0,0,0,0,0,14778368,348858976,18360.998737,0.000166,0.000000,102151,116654,130420,236047,117408,647160,647837,651429,702178,648469,230,468,512,945,468,NA,NA,NA,NA,NA,130354,130369,130369,130380,130366,167,182,276,2522,191
1770579473535703000,full_redraw,0,typical_app_cursor_moves,common,themed,200,60,20000,1000,69420,44417,47958,52500,130916,47995,1485034000,1370018000,115016000,0,0,0,0,0,0,0,0,0,0,0,0,14843904,796171197,41903.747211,0.000166,843.000000,210892,224312,238633,408626,226329,1138770,1139430,1143093,1192592,1140491,214,840,895,1046,839,NA,NA,NA,NA,NA,248716,248731,248731,248731,248729,531,547,642,5196,556
1770579476287636000,full_redraw,0,typical_app_cursor_moves,common,churn,200,60,20000,1000,69420,115959,132000,137750,564625,130510,3090427000,2964978000,125449000,0,0,0,0,0,0,0,0,0,0,0,0,14942208,2189097729,115215.669947,0.000166,3137.000000,530953,561446,579335,899850,562654,2725453,2726173,2729819,2871476,2727191,503,1201,1392,1668,1205,NA,NA,NA,NA,NA,616934,616962,616962,616962,616959,2075,2132,2347,13014,2171
1770579480729696000,full_redraw,0,typical_app_cursor_moves,grapheme_stress,flat,200,60,20000,1000,69420,23125,24375,27375,153542,25194,1080363000,969675000,110688000,0,0,0,0,0,0,0,0,0,0,0,0,15040512,518297612,27278.821684,0.000166,0.000000,115624,129169,143396,203798,130624,682254,682903,686545,723438,683949,376,525,587,1096,527,NA,NA,NA,NA,NA,138614,138630,138630,138640,138625,161,165,179,3921,170
1770579483052900000,full_redraw,0,typical_app_cursor_moves,grapheme_stress,themed,200,60,20000,1000,69420,46750,52083,55125,92667,50962,1588854000,1475291000,113563000,0,0,0,0,0,0,0,0,0,0,0,0,15089664,966357575,50860.925000,0.000166,840.000000,220230,234078,248100,331318,236299,1171996,1172628,1176283,1210160,1173356,413,892,965,1241,887,NA,NA,NA,NA,NA,256121,256138,256138,256152,256133,523,537,556,5978,543
1770579485911046000,full_redraw,0,typical_app_cursor_moves,grapheme_stress,churn,200,60,20000,1000,69420,108083,120291,125334,270458,118728,2915091000,2791543000,123548000,0,0,0,0,0,0,0,0,0,0,0,0,15204352,2105755310,110829.226842,0.000166,2866.000000,495383,512286,531522,800145,515152,2470692,2471395,2475079,2658840,2472335,812,1034,1131,1356,1035,NA,NA,NA,NA,NA,559887,559915,559915,559915,559910,1901,1966,2197,13389,2029
1770579490167327000,full_redraw,0,unicode_stress_width_churn,common,flat,200,60,20000,1000,69420,29166,33208,36458,83708,33145,1647050000,1532451000,114599000,0,0,0,0,0,0,0,0,0,0,0,0,15269888,359772988,18935.420421,0.207320,0.000000,144551,161075,175224,279505,163057,655238,665673,671765,693055,665459,145,450,576,710,442,NA,NA,NA,NA,NA,132802,135092,136282,137447,135016,1644,1902,2012,4599,1905
1770579493080359000,full_redraw,0,unicode_stress_width_churn,common,themed,200,60,20000,1000,69420,55334,64833,70792,219292,64772,2307829000,2189295000,118534000,0,0,0,0,0,0,0,0,0,0,0,0,15319040,856397510,45073.553158,0.207358,968.145684,261889,294283,313778,503317,295283,1128722,1213510,1266220,1314548,1214489,213,666,759,910,665,NA,NA,NA,NA,NA,245910,266979,279646,290066,267228,2355,2863,3059,8625,2863
1770579496686127000,full_redraw,0,unicode_stress_width_churn,common,churn,200,60,20000,1000,69420,159791,182375,191583,375791,181883,4614459000,4484533000,129926000,0,0,0,0,0,0,0,0,0,0,0,0,15368192,2787057686,146687.246632,0.207901,4302.414947,729420,769262,797596,994841,770749,3329391,3437692,3500039,3589518,3429813,522,988,1107,1856,986,NA,NA,NA,NA,NA,759779,782913,799694,806263,783161,5190,5943,6335,17336,5976
