timestamp_ns,mode,e2e,dataset,text_mix,style_mix,cols,rows,frames_total,warmup_frames,seed,time_min_ns,time_median_ns,time_p95_ns,time_max_ns,time_mean_ns,cpu_time_ns,cpu_user_ns,cpu_sys_ns,page_faults_minor,page_faults_major,page_faults_minor_min,page_faults_minor_median,page_faults_minor_p95,page_faults_minor_max,page_faults_minor_mean,page_faults_major_min,page_faults_major_median,page_faults_major_p95,page_faults_major_max,page_faults_major_mean,max_rss_bytes,bytes_total,bytes_mean,dirty_ratio_mean,style_runs_mean,pmc_cycles_min,pmc_cycles_median,pmc_cycles_p95,pmc_cycles_max,pmc_cycles_mean,pmc_instructions_min,pmc_instructions_median,pmc_instructions_p95,pmc_instructions_max,pmc_instructions_mean,pmc_cache_misses_min,pmc_cache_misses_median,pmc_cache_misses_p95,pmc_cache_misses_max,pmc_cache_misses_mean,pmc_cache_references_min,pmc_cache_references_median,pmc_cache_references_p95,pmc_cache_references_max,pmc_cache_references_mean,pmc_branches_min,pmc_branches_median,pmc_branches_p95,pmc_branches_max,pmc_branches_mean,pmc_branch_misses_min,pmc_branch_misses_median,pmc_branch_misses_p95,pmc_branch_misses_max,pmc_branch_misses_mean
1770158432070038000,diff_redraw,0,typical_app_panel_swap,common,flat,200,60,20000,100,69420,18542,19375,21959,693708,19904,892969000,789675000,103294000,91,0,0,0,0,7,0,0,0,0,0,0,12255232,26630227,1338.202362,0.096083,475.000000,92462,106110,118202,235721,107211,404250,405080,405196,487861,405230,967,1628,1862,3101,1626,NA,NA,NA,NA,NA,72828,72828,72828,72841,72828,118,126,130,417,126
1770158434251916000,diff_redraw,0,typical_app_panel_swap,common,themed,200,60,20000,100,69420,18333,19125,20750,49583,19322,877645000,776203000,101442000,90,0,0,0,0,6,0,0,0,0,0,0,14270464,26627600,1338.070352,0.096083,843.000000,93817,104815,116511,167797,105838,398643,399312,399407,431500,399377,1325,1772,1986,2602,1771,NA,NA,NA,NA,NA,71774,71833,71833,71833,71832,114,122,127,292,122
1770158436401749000,diff_redraw,0,typical_app_panel_swap,common,churn,200,60,20000,100,69420,19709,20500,22584,63708,20753,902444000,801075000,101369000,90,0,0,0,0,6,0,0,0,0,0,0,16318464,26626682,1338.024221,0.096083,3137.000000,96583,111169,122651,175055,112134,419898,420761,420853,449601,420832,1150,1693,1892,2455,1681,NA,NA,NA,NA,NA,75508,75508,75508,75508,75508,122,127,130,258,126
1770158438576728000,diff_redraw,0,typical_app_panel_swap,grapheme_stress,flat,200,60,20000,100,69420,21833,22750,26333,7645834,24440,998659000,894028000,104631000,90,0,0,0,0,6,0,0,0,0,0,0,18251776,26626245,1338.002261,0.096083,475.000000,106559,121274,133806,280759,122788,510174,510888,511307,617805,511206,885,2043,2258,3957,2029,NA,NA,NA,NA,NA,94638,94638,94638,94638,94638,133,144,164,1967,159
1770158440877370000,diff_redraw,0,typical_app_panel_swap,grapheme_stress,themed,200,60,20000,100,69420,21584,22750,25125,140541,22898,969668000,868201000,101467000,90,0,0,0,0,6,0,0,0,0,0,0,20201472,26627721,1338.076432,0.096083,840.000000,105601,120998,130433,278868,121521,507947,508578,508700,618082,508704,1233,2039,2234,2906,2026,NA,NA,NA,NA,NA,94102,94102,94102,94102,94102,133,142,151,1883,144
1770158443120139000,diff_redraw,0,typical_app_panel_swap,grapheme_stress,churn,200,60,20000,100,69420,21750,22916,25708,238625,23333,980205000,880098000,100107000,90,0,0,0,0,6,0,0,0,0,0,0,22216704,26628959,1338.138643,0.096083,2867.000000,106642,121891,130464,274656,122441,512414,513181,513293,574075,513315,946,2066,2257,3332,2053,NA,NA,NA,NA,NA,95152,95168,95168,95168,95167,135,147,163,2193,150
1770158445373446000,diff_redraw,0,typical_app_cursor_moves,common,flat,200,60,20000,100,69420,13167,13667,14917,74791,13735,752774000,652942000,99832000,90,0,0,0,0,6,0,0,0,0,0,0,24150016,505195,25.386683,0.000166,475.000000,70206,80634,88032,125626,81027,262627,268943,269998,305082,267047,940,1504,1712,2673,1502,NA,NA,NA,NA,NA,39855,40849,41043,41912,40515,88,96,101,219,96
1770158447397874000,diff_redraw,0,typical_app_cursor_moves,common,themed,200,60,20000,100,69420,11875,12583,14125,521875,12815,736282000,636763000,99519000,90,0,0,0,0,6,0,0,0,0,0,0,26099712,876150,44.027638,0.000166,843.000000,63104,75652,82865,160766,76017,245526,251844,253562,320683,250440,983,1502,1694,2939,1502,NA,NA,NA,NA,NA,36845,37889,38208,39339,37652,77,86,102,375,88
1770158449421538000,diff_redraw,0,typical_app_cursor_moves,common,churn,200,60,20000,100,69420,14458,15167,17167,670125,15547,793260000,691998000,101262000,90,0,0,0,0,6,0,0,0,0,0,0,28082176,917230,46.091960,0.000166,3137.000000,73909,87357,96911,200455,87894,284077,288224,291981,373148,288345,1022,1608,1832,3031,1602,NA,NA,NA,NA,NA,43485,44055,44838,45962,44179,93,101,120,319,104
1770158451501493000,diff_redraw,0,typical_app_cursor_moves,grapheme_stress,flat,200,60,20000,100,69420,20416,20917,23542,105750,21413,932490000,831051000,101439000,90,0,0,0,0,6,0,0,0,0,0,0,30081024,511908,25.724020,0.000166,475.000000,100751,113313,122829,248080,113953,428712,429903,435870,494454,431472,1458,2197,2395,3638,2177,NA,NA,NA,NA,NA,72297,72454,73481,74354,72691,136,150,171,1956,155
1770158453707827000,diff_redraw,0,typical_app_cursor_moves,grapheme_stress,themed,200,60,20000,100,69420,20334,20959,23708,388417,21708,945125000,843607000,101518000,90,0,0,0,0,6,0,0,0,0,0,0,32063488,902492,45.351357,0.000166,840.000000,100791,113251,122551,272522,114141,426693,428347,434726,524676,429883,1208,2196,2402,3466,2163,NA,NA,NA,NA,NA,71823,72088,73206,74383,72313,138,150,178,1960,161
1770158455940381000,diff_redraw,0,typical_app_cursor_moves,grapheme_stress,churn,200,60,20000,100,69420,20458,21083,23500,86375,21435,932993000,832162000,100831000,90,0,0,0,0,6,0,0,0,0,0,0,34045952,857596,43.095276,0.000166,2867.000000,103923,113762,123158,215650,114362,431548,433088,438878,453221,434457,1563,2218,2412,3085,2199,NA,NA,NA,NA,NA,72904,73177,74173,75279,73388,143,158,181,2029,161
1770158458146749000,diff_redraw,0,unicode_stress_width_churn,common,flat,200,60,20000,100,69420,43709,56542,64584,103583,56719,2063826000,1955215000,108611000,90,0,0,0,0,6,0,0,0,0,0,0,35880960,217913679,10950.436131,0.193689,134.629648,209549,261660,288469,353877,261435,537723,692045,765857,833454,690967,478,1355,1644,2160,1328,NA,NA,NA,NA,NA,102073,135930,152664,166334,135643,3600,4613,5197,5752,4619
1770158461490236000,diff_redraw,0,unicode_stress_width_churn,common,themed,200,60,20000,100,69420,48167,65334,75125,125417,65416,2242657000,2132682000,109975000,90,0,0,0,0,6,0,0,0,0,0,0,37781504,324416718,16302.347638,0.193692,598.499548,231403,298519,331707,398466,297585,606461,808260,905701,997574,805887,604,1428,1713,2434,1404,NA,NA,NA,NA,NA,117851,163333,185469,204717,162757,3938,5322,5985,7166,5305
1770158465013068000,diff_redraw,0,unicode_stress_width_churn,common,churn,200,60,20000,100,69420,60667,87959,103333,246292,87828,2701837000,2589308000,112529000,90,0,0,0,0,6,0,0,0,0,0,0,39665664,615917985,30950.652513,0.193655,4026.526784,284445,390945,445249,594462,388963,777705,1137370,1315424,1453554,1131692,759,1499,1789,2460,1491,NA,NA,NA,NA,NA,154667,238221,278471,305119,236839,5100,7116,8138,10088,7070
